artist_spotify,track_spotify,lastfm_url,listeners,playcount,tags
JAWNY,Honeypie,https://www.last.fm/music/Jawny/_/Honeypie,740497,6456994,"funk, indie, fire, Indie Funk, my top songs"
Diego Torres,Color Esperanza 2020,https://www.last.fm/music/Diego+Torres/_/Color+Esperanza+2020,44024,126279,
Galvan Real,Amigos,https://www.last.fm/music/Galvan+Real/_/Amigos,2091,10605,
Will Paquin,Chandelier,https://www.last.fm/music/Will+Paquin/_/Chandelier,538534,6331355,"indietronica, freak folk, indie folk, folktronica"
VOILÀ,Figure You Out,https://www.last.fm/music/VOIL%C3%80/_/Figure+You+Out,170306,2156436,linedance 2024
Stray Kids,Back Door,https://www.last.fm/music/Stray+Kids/_/Back+Door,354021,6240035,"WSUM 91.7 FM Madison, k-pop, K bops, Contemporary pop, Ya ever look up the lyrics"
Dua Lipa,Pretty Please,https://www.last.fm/music/Dua+Lipa/_/Pretty+Please,589907,8320184,"pop, rnb, glad i rediscovered this, Olivia, dance-pop"
TWICE,I CAN'T STOP ME,https://www.last.fm/music/TWICE/_/I+CAN%27T+STOP+ME,675287,11579647,"k-pop, synthwave, synthpop, Kpop, electropop"
TINI,Oye,https://www.last.fm/music/Tini/_/Oye,41087,393564,
Zoe Wees,Control,https://www.last.fm/music/Zoe+Wees/_/Control,168063,1331074,
David Guetta,Let's Love,https://www.last.fm/music/David+Guetta/_/Let%27s+Love,135883,861660,
Lady Gaga,Rain On Me (with Ariana Grande),https://www.last.fm/music/Lady+Gaga/_/Rain+on+Me+(with+Ariana+Grande),899698,17531997,"Lady Gaga, pop, Ariana Grande, electropop, House"
Ava Max,Torn,https://www.last.fm/music/Ava+Max/_/Torn,166196,2421935,
twocolors,Lovefool,https://www.last.fm/music/twocolors/_/Lovefool,153968,1077751,
Fujii Kaze,Shinunoga E-Wa,https://www.last.fm/music/Fujii+Kaze/_/Shinunoga+E-Wa,598759,8510271,"sddslittleyuta, japanese, Love, j-pop, non-english"
Dua Lipa,Fever,https://www.last.fm/music/Dua+Lipa/_/Fever,369915,4307395,
Ariana Grande,motive (with Doja Cat),https://www.last.fm/music/Ariana+Grande/_/motive+(with+Doja+Cat),861600,10738283,"House, trap, dance-pop, rnb, dance pop"
Galvan Real,Cuanto Me Duele,https://www.last.fm/music/Galvan+Real/_/Cuanto+Me+Duele,218,913,
La Oreja de Van Gogh,Sirenas,https://www.last.fm/music/La+Oreja+de+Van+Gogh/_/Sirenas,6115,46754,
Galvan Real,Vuelve La Vida,https://www.last.fm/music/Galvan+Real/_/Vuelve+La+Vida,135,555,
