artist_id,artist_popularity,artist_followers,artist_genres
2Hhs5G5jxtbxhOUzm32YxR,43,25515,christian folk
4aeIWo5CMF1uRmqgJdwkZW,69,3443300,"trova, singer-songwriter, nueva trova"
4qjiRRFcM4WZ0aJ3IHdWPN,67,1051562,"punjabi pop, punjabi hip hop, bhangra"
1pmixngtBJleMrGUG5o8DE,57,387539,"dancehall, ragga, reggae, soca, riddim, azonto"
6SkrfmBYHszxLSp7or6mYa,16,118,
0l837MyEH2h1Au2Ex3f9v5,37,588,"traditional music, swedish pop, bhangra"
05i5DIXDf4Ai4NEPEi3uBZ,58,149236,dembow
5hdhHgpxyniooUiQVaPxQ0,70,5629899,reggaeton
1zdSbv2pR3OIFKselYbJsC,42,8220,
6FQqZYVfTNQ1pCqfkwVFEa,64,1472442,indie
3tXUeiWOSod3mSQ2lOautf,44,14706,
1PoeBBWMjWc0F7MeduJE2k,46,10002,indie folk
3PhoLpVuITZKcymswpck5b,85,15912730,
5KOxTdUHIdnSqigtxlHvAb,0,73,
07wx0ufLRMwiofq8r8rI9m,7,171,
0N9LTnXHqdGKIlH4sQxjxE,7,157,champeta
00vsUIEaNHw6qoQnh8DQM2,49,6011,
1PruL3P8slDEQAjSuOjuPd,57,56378,bachata
4zQo3tp9QhlN1SWScf0gvz,8,2998,
0H942IkjXv9bjx5OxoG7kh,64,499998,"jersey club, hyperpop"
59GuvWzFy0o7wTJL81TVLV,42,8101,
4CQdcx66F116k2db2Y0rjE,77,1982318,trap latino
4hFZibFsoIxictRvkZDjIc,59,523891,"flamenco, flamenco pop, flamenco urbano"
3cepcnEtdetdHZDtn5vlm9,2,164,
3tVQdUvClmAT7URs9V3rsp,83,10232814,"afrobeats, afrobeat, afropop, azonto, afroswing, afro r&b, afropiano"
1zupTD98oClP067cfsV5Mz,0,91,
1iw6ZNe7cO6LGk61z3pMRJ,41,119984,
4EVpmkEwrLYEg6jIsiPMIb,67,1467329,"indie folk, folk, indie"
66NweiA3nU84k1S3SZdTSG,69,6608894,vallenato
7pc3GHMoZPv4c1ZEtDZq2M,0,0,
5JcO3FHEBbWTQMUHmWtU2g,49,154950,
7xJpPgXeDHZlB0Qi5UeRCU,0,3,
0sjJeY8GK7wNAOUXe3mWUk,27,31,
3A6EnD5cRkVQdHsHeKcWV6,5,687,
2f7T2MGxshcrwJrxGvZAYq,32,2537,"flamenco pop, flamenco, flamenco urbano"
1uRIapysygNz3hxOrWnsOB,0,102,
6k8mwkKJKKjBILo7ypBspl,69,1118010,
4npEfmQ6YuiwW1GpUmaq3F,80,7883501,
2uXg8C49UalBmCfRCm7ITk,11,28,
56ZTgzPBDge0OvCGgMO3OY,75,2915889,dream pop
0gzu3w5Ji0KpgRBNyZuOL5,50,65526,jersey club
2w9zwq3AktTeYYMuhMjju8,73,1597056,europop
7w6AUKmYD57eVzS4kldhSt,7,534,
3wrFoI9EVjWg6m8xXeWr5t,66,467226,
4RRzK2qWrcwoMpedo2EPv9,0,0,
5d3bc9MSib3NPeIDxYIIWD,55,565971,manele
4aSlfXDn9R60UlbZEboBUy,70,1636910,"trap latino, urbano latino"
4XL2VdzL4Op5RMAWKxB3EY,28,6886,
766F7mKJ98MWAG4CsVfPFe,23,8,
0FNfiTQCR5o3ounOlWzm1d,51,47781,experimental hip hop
5RLb16s3zfrdWdRF0l7xij,49,92325,"reggae en español, dancehall"
5fMUXHkw8R8eOP2RNVYEZX,80,2872205,moombahton
3zzOs4npAwsNSmwFYDzdHx,62,365023,
39HLbTdg48gwqAIa1CA266,44,46781,
77BznF1Dr1k5KyEZ6Nn3jB,60,456585,
0VEiRxxWStdnk99Dxe2yG6,21,3356,"new orleans bounce, jersey club"
5qPRgWcEOGRzoIST0sHAiI,52,128510,dembow
3XSid6KaiKoMAVZs2ug3yw,58,1040715,
2R21vXR83lH98kGeO99Y66,90,46295930,"reggaeton, trap latino, urbano latino, latin"
17B8OamKrcHpxKiL5P2wH9,0,8,
5DouTwrexhotYKxdOWR3ig,0,59,
6E94QKXZv8BbO6QQJxcxLI,59,317938,"flamenco, flamenco urbano, flamenco pop"
19HM5j0ULGSmEoRcrSe5x3,85,10022905,argentine trap
0647ep4AirMtU3Iq9YcBXm,63,391005,"hyperpop, jersey club"
12zbUHbPHL5DGuJtiUfsip,65,526430,ambient folk
1QR6WDewVzcY8JrxP5Gyj3,49,7591,"afrobeats, afrobeat"
7osFcSwjlRPwxZdVALIOuC,61,197460,"christian folk, folk pop"
1zNqQNIdeOUZHb8zbZRFMX,79,3217812,
2z3KntXLyEF5Lvz1kpdBoA,63,925973,"latin indie, mexican indie, latin alternative"
7tePu9BXXZ11dX6RZDnOAw,0,1703,
7a0XAaPaK2aDSqa8p3QnC7,89,3923371,"latin afrobeats, reggaeton, pop urbano"
38WbKH6oKAZskBhqDFA8Uj,68,2244128,"j-pop, j-rock, anime, japanese indie"
6xvsMgKXlrWoXGeVBkAPkh,0,62,
0ZDAU5BLvLXTYqlrjW6KF1,62,263830,vallenato
2iojnBLj0qIMiKPvVhLnsH,72,7804728,r&b
2nQpzVobjanGYmG8o67lT3,0,18,
5soMpG6E6oApEiCZgrWeVz,62,899829,singer-songwriter
0i9O4gjzx13gYPSZyAVZO7,0,25,
0YWTSwecJ4cKrEQjrh46la,48,8565,"argentine trap, hyperpop"
3178qXu4pFGvhZtM5ArnXI,4,703,afropiano
3dC19P4w1BbDuwCailjybv,66,73002,"reggaeton chileno, chilean trap, reggaeton mexa, chilean mambo"
5ZCfjramRRGj3D72drnyxK,51,6195,
45PReQ9uQS5o6Up0PtWDv9,0,1,
5CeE13QSKh3AYsFcj1xY8F,24,4492,underground hip hop
2sSGPbdZJkaSE2AbcGOACx,85,4291249,bedroom pop
60d7XKY1qqY5cPnXOCVvo6,50,47793,"chilean trap, chilean mambo, reggaeton chileno"
6XwcepfAsPhrvwziGxhwju,59,1798046,r&b
1QcutbFtA6u8A2ZFTZuLSL,71,198685,
6KOszWgIriJLaPOySuBOTI,63,290423,hyperpop
76whng5pl9msPkkjFUtWYn,59,985986,"latin hip hop, reggaeton, dembow"
60XHOAhvEBiV6BGBOv8ClM,68,2395270,"rkt, turreo"
1eTInlBizrAteaACHeE85y,41,1603,hyperpop
2ywdAcaib4cSxcCdcu6Sle,0,2,
0J7U24vlOOIeMpuaO6Q85A,68,2858542,
73s0o3W8ycCcK4hRjuGNrj,36,20616,
227jw8PJFfTnlvguSE1iwC,0,4,
4ssUf5gLb1GBLxi1BhPrVt,65,921234,"trova, latin folk, singer-songwriter, nueva trova, candombe"
2jA6wEXprTZysvomP2krp8,42,22885,
2icndAD2G5umAWdgrARONR,46,30100,
3Rc0oBaMIgyTwVKUT9nOdH,24,3304,
3qqkHeEhezlIaNj1vFYH2r,49,109918,bedroom pop
3Y9A8EQQtWU8RStiTlzErv,70,828620,"salsa choke, rkt"
132sZpCaM8ie6byAEcOcRs,43,100538,alternative dance
5TDSNRe3rVLJhxjIhxfcUx,63,1088754,"popular colombian music, ranchera, vallenato"
04pH6pkJugHJ7g3DTCQBVM,45,15558,latin alternative
4XWaILHqySwH1y6LhlYcsb,66,521746,
2RP4pPHTXlQpDnO9LvR7Yt,57,996418,"alternative r&b, soul, pop soul"
2cFrymmkijnjDg9SS92EPM,75,5123042,
6Ke4c6HNdStx9BHodZ8FiE,43,7519,"flamenco pop, flamenco, flamenco urbano"
3MqzFFAm4gc6nzAcWE2gjT,37,5958,
506zjFvbbNJcjxY260lHDC,58,6059,"bossa nova, lounge, reggae pop"
1Zy7BWE5e2cJFeXvawEJjV,46,12063,
