track_id,track,artist,artistid,all_artists_names,all_artists_ids,collaboration,album,album_id,track_release_date,track_popularity,track_year,genre_extracted,artist_popularity,artist_followers,artist_genres,album_name,album_type,total_tracks,album_release_date,label,album_artists
7wPbkC6evy2aeDSpH99C0H,Mi Niña - Bachata Version,Los Toros Band,4cBjJBPtvetlysjjojDLUA,Los Toros Band,4cBjJBPtvetlysjjojDLUA,False,Bachatas y reggaeton,7uwVgw95fDHFF9U9KYkdS1,2020-12-18,55,2020,latin,56,276173,"bachata, merengue",Bachatas y reggaeton,compilation,29,2020-12-18,UME - Global Clearing House,Various Artists
1zaDh3qaGSeSmulNyWlUxm,SI ELLA SALE,Bad Bunny,4q3ewBCX7sLwd24euuV69X,Bad Bunny,4q3ewBCX7sLwd24euuV69X,False,LAS QUE NO IBAN A SALIR,4gvQO5mEuhbMSrLIuwXkmz,2020-05-10,54,2020,latin,99,106717983,"reggaeton, trap latino, urbano latino, latin",LAS QUE NO IBAN A SALIR,album,10,2020-05-10,Rimas Entertainment LLC,Bad Bunny
3Nm0lNWLMihkFupwz974yD,Adicta al Dolor,Marbelle,3UMc63PbdGvuOzUk0Gd1Fg,Marbelle,3UMc63PbdGvuOzUk0Gd1Fg,False,Adicta al Dolor,1SxA4Fy26Bx4k1plttrPV5,2020-01-24,62,2020,latin,47,120421,"popular colombian music, ranchera, colombian pop",Adicta al Dolor,single,1,2020-01-24,FC Entertainment,Marbelle
4W9Fo3bJgtLZrffi0611Kl,Mi Funeral,Eladio Carrion,5XJDexmWFLWOkjOEjOVX3e,"Eladio Carrion, J Balvin, Ñengo Flow","5XJDexmWFLWOkjOEjOVX3e, 1vyhD5VmyZ7KMfW5gqLgo5, 12vb80Km0Ew53ABfJOepVz",True,Sauce Boyz,2JwUsV3QP7FMWx1Fzt6dHQ,2020-01-31,48,2020,latin,81,9361164,"trap latino, urbano latino, trap",Sauce Boyz,album,16,2020-01-31,Rimas Entertainment LLC,Eladio Carrion
4XKC4nfeXgyd4KQDu8arKL,100 Años,Carlos Rivera,39yVoqm6sYFvvqF1RciUVf,"Carlos Rivera, Maluma","39yVoqm6sYFvvqF1RciUVf, 1r4hJ1h58CWwUQe3MxPuau",True,100 Años,1LmIj33OFO9d1XMh9jRecz,2020-11-03,56,2020,latin,72,5029223,latin pop,100 Años,single,1,2020-11-03,Sony Music Latin,Carlos Rivera
2XDa7vfcZnxbSVtwDm0AKK,Si Supieras,Prince Royce,3MHaV05u0io8fQbZ2XPtlC,Prince Royce,3MHaV05u0io8fQbZ2XPtlC,False,ALTER EGO,3si9Tt0MEyLf26borb6B5p,2020-02-07,51,2020,latin,82,8860327,"bachata, latin",ALTER EGO,album,23,2020-02-07,Sony Music Latin,Prince Royce
3HTbI3yUJQw3fP0Po8qLcD,Verde,J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,"J Balvin, Sky Rompiendo","1vyhD5VmyZ7KMfW5gqLgo5, 51XrH5fQP2oIQynuKxSWcW",True,Colores,2mX8ktJoWvyidWBU9U8Jis,2020-03-19,58,2020,latin,89,39743694,"reggaeton, latin",Colores,album,10,2020-03-19,UMLE - Latino,J Balvin
3gsMgG06G0igLNVVe1RDak,Casino,Sech,77ziqFxp5gaInVrF2lj4ht,Sech,77ziqFxp5gaInVrF2lj4ht,False,1 of 1,3D1NZYi3GsenO5uWDFrRI6,2020-05-21,56,2020,latin,80,12087042,"reggaeton, urbano latino",1 of 1,album,21,2020-05-21,Rich Music,Sech
1s1hRKC0zaL2O7zdLIm6md,Intro,Junior H,7Gi6gjaWy3DxyilpF1a8Is,Junior H,7Gi6gjaWy3DxyilpF1a8Is,False,Cruisin' with Junior H,0HANqWtJABVpAWVrQzE2XM,2020-09-02,77,2020,latin,90,30039684,"corridos tumbados, corrido, corridos bélicos, sad sierreño, sierreño, música mexicana, banda",Cruisin' with Junior H,album,12,2020-09-02,WEA Latina,Junior H
14wf185UxfNbSy8dwt4r4q,MAMACITA,Black Eyed Peas,1yxSLGMDHlW21z4YXirZDS,"Black Eyed Peas, Ozuna, J. Rey Soul","1yxSLGMDHlW21z4YXirZDS, 1i8SpTcr7yvPOmcqrbnVXY, 1OB278sOZVSFx5vXqYha83",True,MAMACITA,39kXbkUjh0IIyoGBnlGX9V,2020-04-10,62,2020,latin,84,9907895,,MAMACITA,single,1,2020-04-10,Epic,Black Eyed Peas
7AWgHNS16hOhmiyPIRRcmC,El Amor De Tu Vida,Carín León,66ihevNkSYNzRAl44dx6jJ,"Carín León, Tony Melendez","66ihevNkSYNzRAl44dx6jJ, 2xtVF7p8OnfvOmTExIoknF",True,El Amor De Tu Vida,5ZgM7Cd76zsjHVZuqESNj9,2020-08-17,72,2020,latin,85,18085398,"banda, norteño, sierreño, corrido, ranchera, grupera, sad sierreño",El Amor De Tu Vida,single,1,2020-08-17,Tamarindo Rekordsz,Carín León
4YvVZba3sBU3qLI7I6TVWD,Perdoname Si Llego Tarde,Lucho SSJ,1OBizG9nrnHJkrL9NjnWYN,"Lucho SSJ, Duki","1OBizG9nrnHJkrL9NjnWYN, 1bAftSH8umNcGZ0uyV7LMg",True,Nivel,7bZWvSg4dNNFWBfiWKOgzS,2020-04-13,57,2020,latin,61,553537,"argentine trap, trap, chilean trap",Nivel,album,14,2020-04-13,R-i-c / YBR,Lucho SSJ
0MArhYeFvgi8V2Pj3ecwBs,La Declaración,El Zar,1cj1ov4uZ0Htsx9PWDpNvi,El Zar,1cj1ov4uZ0Htsx9PWDpNvi,False,La Declaración,40t4vhHKFGfCg0ef2ALiqn,2020-05-15,64,2020,latin,61,131296,latin indie,La Declaración,single,1,2020-05-15,Independent,El Zar
3R0PgPUdZUtd6dGq6yRwc7,Piel Con Piel,La Santa Grifa,1oH2B8tcHn4Gpl2bmmyd4A,La Santa Grifa,1oH2B8tcHn4Gpl2bmmyd4A,False,Piel Con Piel,7GxFfPCbKkOHhi1GFA1hSW,2020-04-17,72,2020,latin,78,10149653,"mexican hip hop, latin hip hop, sad sierreño",Piel Con Piel,single,1,2020-04-17,La Santa Grifa,La Santa Grifa
10PPCNpNG7JwZwtBMg0r6E,Sauce Boy Freestyle II,Eladio Carrion,5XJDexmWFLWOkjOEjOVX3e,Eladio Carrion,5XJDexmWFLWOkjOEjOVX3e,False,Sauce Boy Freestyle II,2pcCqi8WObUR9hm6M60DuZ,2020-10-22,50,2020,latin,81,9361164,"trap latino, urbano latino, trap",Sauce Boy Freestyle II,single,1,2020-10-22,Rimas Entertainment LLC,Eladio Carrion
2itkHaDOmik7xPjill4hxd,Pal De Blones,Luar La L,4axKuDPr6WKcDCyh8vueTY,Luar La L,4axKuDPr6WKcDCyh8vueTY,False,Pal De Blones,7pbz2lUlvmp0MfFzcpXIg9,2020-12-04,49,2020,latin,80,3096700,trap latino,Pal De Blones,single,1,2020-12-04,White Lion Entertainment,Luar La L
3oyOEGQXpwXVwLSZb088bJ,Jimmy Fallon - Remix,Lucho SSJ,1OBizG9nrnHJkrL9NjnWYN,"Lucho SSJ, Duki, KHEA, C.R.O","1OBizG9nrnHJkrL9NjnWYN, 1bAftSH8umNcGZ0uyV7LMg, 4m6ubhNsdwF4psNf3R8kwR, 4puAp107dCehraE47QXVQX",True,Jimmy Fallon (Remix),6ZodluiJtgoZDLMRnv8VkW,2020-06-12,57,2020,latin,61,553537,"argentine trap, trap, chilean trap",Jimmy Fallon (Remix),single,1,2020-06-12,R-i-c / YBR,Lucho SSJ
3RGg9W1OyEiRMwu1Qi45dW,Bentley,Sech,77ziqFxp5gaInVrF2lj4ht,"Sech, Myke Towers","77ziqFxp5gaInVrF2lj4ht, 7iK8PXO48WeuP03g8YR51W",True,1 of 1,3D1NZYi3GsenO5uWDFrRI6,2020-05-21,48,2020,latin,80,12087042,"reggaeton, urbano latino",1 of 1,album,21,2020-05-21,Rich Music,Sech
3YLbntjcsRoButdoVta3rq,Prendemos,Haze,77iZVjeYoYSl5P0K9mIiUE,"Haze, JHAYCO, Lunay","77iZVjeYoYSl5P0K9mIiUE, 6nVcHLIgY5pE2YCl8ubca1, 47MpMsUfWtgyIIBEFOr4FE",True,Prendemos,1X0vimVNeLVhLzIkLUxyWf,2020-09-11,51,2020,latin,69,355659,reggaeton,Prendemos,single,1,2020-09-11,House of Haze,Haze
