genero,año,media_popularidad
hip-hop,2020,0
hip-hop,2021,0
hip-hop,2022,0
hip-hop,2023,0
hip-hop,2024,0
indie,2020,51
indie,2021,53
indie,2022,53
indie,2023,56
indie,2024,59
latin,2020,61
latin,2021,60
latin,2022,61
latin,2023,65
latin,2024,65
pop,2020,61
pop,2021,61
pop,2022,63
pop,2023,67
pop,2024,70
