año,mes,genero,festival,media_popularidad,media_oyentes,media_reproducciones
2023,11,indie,"No Festival",54.96,111684,1145849
2023,12,indie,"Red Bull Batalla",57.23,61412,460340
2024,1,indie,"No Festival",61.70,105236,949110
2024,2,indie,"No Festival",58.80,91539,823864
2024,3,indie,Lollapalooza,55.13,88823,889383
2024,4,indie,Coachella,58.02,105401,1058544
2024,5,indie,"No Festival",61.88,278554,3264885
2024,6,indie,"Primavera Sound",57.14,65254,467680
2024,7,indie,"No Festival",63.53,222957,2340650
2024,8,indie,"No Festival",60.38,141362,1525154
2024,9,indie,"No Festival",59.17,72504,534089
2024,10,indie,"No Festival",55.12,79207,783993
2024,11,indie,"No Festival",57.52,60724,497271
2024,12,indie,"Red Bull Batalla",59.26,40727,262172
2020,1,latin,"No Festival",59.92,34266,313153
2020,2,latin,"No Festival",65.45,106357,1124753
2020,3,latin,Lollapalooza,60.55,49442,391272
2020,4,latin,Coachella,61.33,36540,291238
2020,5,latin,"No Festival",60.18,44099,341002
2020,6,latin,"Primavera Sound",59.00,39250,318225
2020,7,latin,"No Festival",59.59,56286,501127
2020,8,latin,"No Festival",60.45,41007,351578
2020,9,latin,"No Festival",60.74,38863,282471
2020,10,latin,"No Festival",57.47,40248,379050
2020,11,latin,"No Festival",65.41,82616,830383
2020,12,latin,"Red Bull Batalla",59.87,31795,351433
2021,1,latin,"No Festival",55.34,21725,166820
2021,2,latin,"No Festival",60.36,43514,474131
2021,3,latin,Lollapalooza,61.29,50549,436528
2021,4,latin,Coachella,59.72,35814,341972
2021,5,latin,"No Festival",63.08,54436,578948
2021,6,latin,"Primavera Sound",58.26,57852,553675
2021,7,latin,"No Festival",60.34,49589,448672
2021,8,latin,"No Festival",61.15,37101,347438
2021,9,latin,"No Festival",60.10,53339,440400
2021,10,latin,"No Festival",62.30,62619,655270
2021,11,latin,"No Festival",58.55,36258,512838
2021,12,latin,"Red Bull Batalla",61.48,60910,728758
2022,1,latin,"No Festival",60.33,41336,374169
2022,2,latin,"No Festival",61.24,49516,469707
2022,3,latin,Lollapalooza,59.67,118593,1536048
2022,4,latin,Coachella,61.03,58211,750093
2022,5,latin,"No Festival",67.69,162157,2054898
2022,6,latin,"Primavera Sound",56.96,26530,265575
2022,7,latin,"No Festival",61.74,70511,888550
2022,8,latin,"No Festival",60.84,60677,631564
2022,9,latin,"No Festival",61.32,55632,650200
2022,10,latin,"No Festival",60.10,53160,540135
2022,11,latin,"No Festival",60.72,50353,452647
2022,12,latin,"Red Bull Batalla",59.89,35640,335017
2023,1,latin,"No Festival",64.05,66577,805006
2023,2,latin,"No Festival",65.02,98688,1017908
2023,3,latin,Lollapalooza,63.09,80624,881410
2023,4,latin,Coachella,63.60,65870,780700
2023,5,latin,"No Festival",63.63,41232,428652
2023,6,latin,"Primavera Sound",64.71,74653,919558
2023,7,latin,"No Festival",64.51,72419,751816
2023,8,latin,"No Festival",65.53,73584,795310
2023,9,latin,"No Festival",62.49,41325,410489
2023,10,latin,"No Festival",69.21,98324,1070082
2023,11,latin,"No Festival",65.16,44486,511146
2023,12,latin,"Red Bull Batalla",63.00,50888,677485
2024,1,latin,"No Festival",61.75,45993,579517
2024,2,latin,"No Festival",62.78,50750,552476
2024,3,latin,Lollapalooza,65.27,35777,355637
2024,4,latin,Coachella,65.47,59914,664206
2024,5,latin,"No Festival",64.76,35539,406502
2024,6,latin,"Primavera Sound",67.00,66208,732776
2024,7,latin,"No Festival",63.44,33425,348627
2024,8,latin,"No Festival",67.97,74443,791704
2024,9,latin,"No Festival",67.48,37698,404367
2024,10,latin,"No Festival",63.47,34952,377557
2024,11,latin,"No Festival",66.34,48189,514201
2024,12,latin,"Red Bull Batalla",65.89,30586,364372
2020,1,pop,"No Festival",59.67,213661,4146928
